id,Title,Content,author,_author,author_joined,_author_joined,rating,_rating,"WPML Translation ID","WPML Language Code"
326,"fast trade executions and opportunities","Traders without experience should consult [funnel]. Once it helped me, as a beginner, to conduct tests that I would have spent a lot of time on. And the algorithm did it much faster and more successfully in terms of profit.","Mimir N.",field_60ed4e655dfec,20201203,field_60ed4e8c5dfed,4/5,field_60ed69d53445c,76,en
327,"10 out of 10","I think I should tell you about [funnel], which helped me improve the effectiveness of forecasts. It is very attracted by it's independence and round-the-clock work. A dream for any trader.","Isabelle T.",field_60ed4e655dfec,20201213,field_60ed4e8c5dfed,5/5,field_60ed69d53445c,77,en
328,"I've found my weapon of choice!","At the moment, for all the time of my search, [funnel] is the best tool for traders. This is a great helper not only for experienced specialists, but also for beginners who can learn everything from softwares.","Louise A. ",field_60ed4e655dfec,20201215,field_60ed4e8c5dfed,4/5,field_60ed69d53445c,78,en
329,"Saves years for begginers","I want to leave this review for beginners who still find it difficult to engage in trading on their own. I believe that the [funnel] tool will be able to help you in learning how to trade, as it once helped me. Having colorful charts in the form of the result of the work done, novice traders will be able to analyze the data obtained and interpret the necessary strategies for themselves.","Samuel J.",field_60ed4e655dfec,20201216,field_60ed4e8c5dfed,5/5,field_60ed69d53445c,79,en
330,"Easy choice","I couldn't find a suitable automated algorithm for a long time. I have been working with [funnel] for several months now and I am delighted with the proposed strategies and decent earnings. It is not difficult to withdraw money here. The interface is as convenient as possible.","Luan B.",field_60ed4e655dfec,20210101,field_60ed4e8c5dfed,4/5,field_60ed69d53445c,80,en
331,"Reccomend [funnel]","I have been working with this platform for several months now and I am very happy with my earnings. The best strategies and accurate analysis.","Jaromír Š.",field_60ed4e655dfec,20210102,field_60ed4e8c5dfed,5/5,field_60ed69d53445c,81,en
332,"support always there to help...","Hello everybody! I've been looking for a suitable trading software for a long time, I haven't found a better [funnel] yet. I was very pleased that in case of an emergency, technical support is always ready to help to get the tool back to work as quickly as possible.","Vitór S.",field_60ed4e655dfec,20210104,field_60ed4e8c5dfed,5/5,field_60ed69d53445c,82,en
333,"Great if you want to test your own algos","I am so happy about my new find - [funnel]. This tool will make your life easier, thanks to the independent construction of algorithms. If, for example, you want to add functionality from your previous trading system, you will only need to factor the code and everything is ready.","Julia S.",field_60ed4e655dfec,20210105,field_60ed4e8c5dfed,4/5,field_60ed69d53445c,83,en
334,"all trading pairs and opportunities I need","I am very happy with the selection of [funnel], because I trade cryptocurrency and the algorithm is able to work with every cryptocurrency pair. ","Darijo C.",field_60ed4e655dfec,20210120,field_60ed4e8c5dfed,4/5,field_60ed69d53445c,84,en
335,"2x trading speed and profit","I think that those who have already tried [funnel] will agree with me that they have not yet come up with anything better. Previously, analyzing stock quotes, I could spend a lot of time on this. Now the platform does it twice as fast and I get twice as much money.","Vinicius F.",field_60ed4e655dfec,20210126,field_60ed4e8c5dfed,4/5,field_60ed69d53445c,85,en
336,"thanks for the update","The new version on [funnel] has me so pleased with its capabilities. It is very easy (now easier) to use and the minimum deposit always pays off.","Karla A. ",field_60ed4e655dfec,20210126,field_60ed4e8c5dfed,4/5,field_60ed69d53445c,86,en
337,"Always trades in the best window","I have been trading cryptocurrency for many years and for me [funnel] is just a godsend, because it quickly reacts to changes in the market. I was late with the entrance a couple of times, but the algorithm does everything on time.","Martin E.",field_60ed4e655dfec,20210127,field_60ed4e8c5dfed,5/5,field_60ed69d53445c,87,en
338,"[funnel] is the Best","At the moment, [funnel] is the best bot that trades on the market.","Nathan G.",field_60ed4e655dfec,20210128,field_60ed4e8c5dfed,5/5,field_60ed69d53445c,88,en
339,"Efficient and does all i need","During quarantine, I have been a regular user of the [funnel] trading terminal (since that moment I have visited binance 2-3 times), the terminal's functionality is more than enough! It immediately takes into account all the exchange's commissions, there is no need to monitor the BNB balance, the terminal will replenish the required amount if necessary. It is very convenient to trade - you can rearrange TP and SL with the mouse... yes, there are a lot of good things in the terminal and the developer is constantly in touch with users. In general, I recommend it as a tool for comfortable work!","Sypha B.",field_60ed4e655dfec,20210214,field_60ed4e8c5dfed,5/5,field_60ed69d53445c,89,en
340,"Plug and play","Hi! I want to support the positive reviews about [funnel]. Many people say that this is too complicated, but I don't think so. You need to program the software in one day and then it will do all the work itself.","Radovan G.",field_60ed4e655dfec,20210217,field_60ed4e8c5dfed,5/5,field_60ed69d53445c,90,en
341,"Nothing better (so far)","So far, I haven't found anything better than [funnel]. Because it is very simple and also allows you to earn good money. I recommend trying it yourself to make sure that this is a convenient innovation in trading.","Mike A.",field_60ed4e655dfec,20210219,field_60ed4e8c5dfed,4/5,field_60ed69d53445c,91,en
342,"helps a lot","I am an inexperienced trader who is simply delighted with the new [funnel] chip. I've never seen anything like this before. I often lost money, but the algorithm was always able to calculate the right strategy, put it up for sale at the right time. I think that beginners may be interested in this.","Jonathan B.",field_60ed4e655dfec,20210226,field_60ed4e8c5dfed,5/5,field_60ed69d53445c,92,en
343,"Great tool and day options","For me, the trading tool [funnel] has become an excellent assistant in trading cryptocurrencies. Despite the fact that I am an experienced trader, this is a great find for me, which has increased my income and increased the number of transactions.","Jan S.",field_60ed4e655dfec,20210227,field_60ed4e8c5dfed,5/5,field_60ed69d53445c,93,en
344,Great,"You can actually earn money with it if you're not too greedy","Steve R.",field_60ed4e655dfec,20210228,field_60ed4e8c5dfed,5/5,field_60ed69d53445c,94,en
345,Awesum!!!!,"This is the best thing that could happen in trading. Thanks to [funnel], the trading process takes place 24 hours. And this is very important for me, because now I can spend my time on other work as well.","Mikkel S.",field_60ed4e655dfec,20210301,field_60ed4e8c5dfed,5/5,field_60ed69d53445c,95,en
346,"Solid product and team","Very responsive technical support, always helps out if there are any questions. Able to withdraw the money I earned without any problems.","Antony S.",field_60ed4e655dfec,20210304,field_60ed4e8c5dfed,5/5,field_60ed69d53445c,96,en
347,"No issues my side","In general, I am happy with everything [funnel] executes on.","David R.",field_60ed4e655dfec,20210307,field_60ed4e8c5dfed,5/5,field_60ed69d53445c,97,en
348,[funnel],"I am impressed with the work of [funnel], because thanks to the software, there are more successful transactions, as well as profits. The fact is that it perfectly analyzes the market and responds to any changes in time.","Nikolaj C.",field_60ed4e655dfec,20210308,field_60ed4e8c5dfed,5/5,field_60ed69d53445c,98,en
349,"Really impressive","It's just a miracle of technology. I have been on the stock market for a long time and have never seen such a great opportunity as a [funnel] software. It does everything for me, at first it was even unusual. The advantage for me is that the speed of reaction to market signals is instantaneous. I highly recommend trying it.","Leon B.",field_60ed4e655dfec,20210309,field_60ed4e8c5dfed,5/5,field_60ed69d53445c,99,en
350,"V. Powerful","Hi! over the last year I have been using [funnel] and to this day I am very happy with how it works. It's great that someone is thinking about our precious time and now we can engage in trading without wasting time analyzing the situation on the market, so besides everything pays off. I get a good profit and I can confidently advise you to try it too, to see for yourself.","Chris E.",field_60ed4e655dfec,20210316,field_60ed4e8c5dfed,4/5,field_60ed69d53445c,100,en
351,"my trading PA!","I have been on the stock market for several years and I have a lot of experience, but even I can't cope with responding to changes in the market situation as well as [funnel]. This is my personal assistant, who helps me take advantage of the opened opportunities for profit.","Kai C.",field_60ed4e655dfec,20210324,field_60ed4e8c5dfed,5/5,field_60ed69d53445c,101,en
352,"Thank you [funnel]","The principle of its operation is simple: buy on a falling price and sell on an increase in the exchange rate. Without software, this is very hard to do!","Tony S.",field_60ed4e655dfec,20210331,field_60ed4e8c5dfed,4/5,field_60ed69d53445c,102,en
353,"[funnel] is gold standard","How many different expert advisors, robots, strategies for sale I have gone through - I probably can't count.
Some of them I used myself, not which were used by colleagues and acquaintances, some I just watched from the sidelines. And during all this time, I have not met a single product that would earn money for its owner, but [funnel] is something completely new.
I have been looking for a long time for an opportunity to automate trading on the stock exchange, and thanks to this bot, such an opportunity appeared. I like how the bot trades and it is very simple to manage, so I can recommend it.","Trevor B.",field_60ed4e655dfec,20210402,field_60ed4e8c5dfed,5/5,field_60ed69d53445c,103,en
354,"a good trading education","A new and interesting platform [funnel] will help novice traders to start their trading in the right direction. Beginners can track every step and learn new strategies. I think you should try it.","Gillermo S.",field_60ed4e655dfec,20210406,field_60ed4e8c5dfed,5/5,field_60ed69d53445c,104,en
355,"Glad I tried this","Indeed, the [funnel] tool is a big find. The biggest plus is that for inexperienced traders, a trading tool can become a reference for various trading strategies. You can just watch it's work and get new knowledge.","Hjalte J.",field_60ed4e655dfec,20210407,field_60ed4e8c5dfed,5/5,field_60ed69d53445c,105,en
356,"huge time saver","A brilliant invention is [funnel], because not one person is not able to process such a large amount of information as this tool. The advantage is that automated softwares save a lot of time and allow you to trade on several platforms at once.","Lucie V.",field_60ed4e655dfec,20210407,field_60ed4e8c5dfed,4/5,field_60ed69d53445c,106,en
357,"Try and see","At first I was a little wary, I wasn't sure if it worked, even though I read about everything on [funnel]. But when I tried it myself, I was very impressed, I didn't think it was so convenient and simple. It seems to me that even for beginners this is suitable.","Valentino V.",field_60ed4e655dfec,20210415,field_60ed4e8c5dfed,4/5,field_60ed69d53445c,107,en
358,"all good - no issues","[funnel] helped me to improve my profitability and make a large number of transactions that brought me excellent profit. In a couple of months, I was able to withdraw the money I earned without any problems.","Mike C. ",field_60ed4e655dfec,20210418,field_60ed4e8c5dfed,5/5,field_60ed69d53445c,108,en
359,Excellente!,"It's a pity that I didn't know about trading softwares before. A friend suggested [funnel] and said that it would help me not to lose my money anymore. So it is, I am very happy.","Giovanna M.",field_60ed4e655dfec,20210504,field_60ed4e8c5dfed,5/5,field_60ed69d53445c,109,en
360,"Changed my outlook","There is so much information about trading on the Internet. They really help in analysis and forecasting. simple and convenient.","Nina P.",field_60ed4e655dfec,20210507,field_60ed4e8c5dfed,5/5,field_60ed69d53445c,110,en
361,"Thanks <3","With the help of [funnel], I got a lot of time, because the tool performs all the analyses on its own. And it also allows you not to miss when you need to make a transaction. I am very happy and I reccomend it.","Mohammad L. ",field_60ed4e655dfec,20210509,field_60ed4e8c5dfed,4/5,field_60ed69d53445c,111,en
362,"[funnel] is great","Online trading is like an additional income for me. It is very difficult to cope with cryptocurrency trading around the clock and without days off. On the [funnel] platform I found out about a soft that does this much faster. And it helped me cope with a large amount of work.","Martim G.",field_60ed4e655dfec,20210519,field_60ed4e8c5dfed,4/5,field_60ed69d53445c,112,en
363,Gr8,"I couldn't find a more convenient tool for trading than [funnel]. This site allows you to set an automatic search mode and make transactions more successful. I highly recommend it for total beginners and already experienced traders.","Laurits I.",field_60ed4e655dfec,20210522,field_60ed4e8c5dfed,4/5,field_60ed69d53445c,113,en
364,"Gets me in and out fast","I have been using [funnel] for months now and I am very pleased with what I have traded up unitl now, because my trading strategy has become more detailed and the platform helps to more accurately determine the entry and exit points for a trade transaction, which I am very happy about.","Davi M.",field_60ed4e655dfec,20210525,field_60ed4e8c5dfed,4/5,field_60ed69d53445c,114,en
365,"helpful and easy to start","For me, as for a beginner, [funnel] has become a support, so it's not easy to take into account all the parameters of detailed configuration without experience. You will never get an algorithm and analysis more detailed than it does.","Nicolai A.",field_60ed4e655dfec,20210528,field_60ed4e8c5dfed,5/5,field_60ed69d53445c,115,en
366,"Improving my trading success","I have been trying to trade cryptocurrency for a long time and have never been able to go into the plus. But now I found out about [funnel]. This makes all the predictions for me and helped me get into the plus. It will be extremely useful for beginners.","André C.",field_60ed4e655dfec,20210613,field_60ed4e8c5dfed,5/5,field_60ed69d53445c,116,en
367,"Fantastic sevice and product","As you probably already understood [funnel] — is a service (trading terminal) that makes trading much more pleasant and efficient.
I was very surprised by the possibilities. Then I was very surprised by the support. Then I was generally shocked at how everything just works together. Thank you so much for such a service! Binance does not allow you to solve many problems, and this [funnel] tool gives everything you need. ","Natasha R.",field_60ed4e655dfec,20210622,field_60ed4e8c5dfed,5/5,field_60ed69d53445c,117,en
368,"Speed to trade","For me personally, the main advantages are the quick opening of transactions with predefined SL and TP, the ability to move orders ""mechanically"" on the chart, the free service for registration via a referral link (win-win model), the speed of the terminal (much faster than the Binance terminal). It is worth noting that the service is quite new and improvements are regularly made and new pairs are introduced.","Tom H.",field_60ed4e655dfec,20210627,field_60ed4e8c5dfed,5/5,field_60ed69d53445c,118,en
369,"Best points are","'- Huge number of ways to deposit and withdraw funds from the account. I, myself, prefer paypal. + The interface of both the site and mobile app is clear and convenient even for a beginner. + Strong reliability of the relevance of signals from forbes.","Jonah J.",field_60ed4e655dfec,20210628,field_60ed4e8c5dfed,4/5,field_60ed69d53445c,119,en
370,"I stay on top & in control","I'm just thrilled with [funnel], they haven't come up with anything better yet. I trade cryptocurrency and the tool can cover such a large amount of information that I would have to stay up for several days to find it all. In general, I recommend it.","Robert P.",field_60ed4e655dfec,20210704,field_60ed4e8c5dfed,5/5,field_60ed69d53445c,120,en
371,"so so useful","[funnel] algorithm that helps to improve forecasts, price changes in the market. I do not know how I lived without it, because it makes life easier and more convenient. You can track all the steps.","Anna T.",field_60ed4e655dfec,20210708,field_60ed4e8c5dfed,4/5,field_60ed69d53445c,121,en
372,"Great for newbs","Hi! I am a novice trader and I can't get enough of [funnel], which now makes up all the algorithms for me, thereby allowing me to learn and grow experience in this direction. I think that all novice traders will appreciate this tool.","Nanna T.",field_60ed4e655dfec,20210710,field_60ed4e8c5dfed,5/5,field_60ed69d53445c,122,en
373,"Thx [funnel]","Trading is a great opportunity to earn money. And with [funnel], it became even easier to earn money. Thx","Jaroslav P.",field_60ed4e655dfec,20210716,field_60ed4e8c5dfed,5/5,field_60ed69d53445c,123,en
374,"Just a breeze to use","Trading has always tired me out, it's very stressful, but when I used [funnel], all changed. Main advantage is that I am not afraid of overwhelm with a large amount of calculations, because it will be done for me.","Carlos M.",field_60ed4e655dfec,20210718,field_60ed4e8c5dfed,5/5,field_60ed69d53445c,124,en
375,"Up and up","Once again [funnel] is a great service that makes it possible to do all the work for you and just track the positive trends. ","Alfred A.",field_60ed4e655dfec,20210725,field_60ed4e8c5dfed,4/5,field_60ed69d53445c,125,en
376,"REALLY, REALLY SMART!","Few of the best things about [funnel] > The function of suspending operation at high market volatility, allows the bot to adequately respond to the current price and execute orders in accordance with risk level. In addition, the bot itself takes into account the commissions so I'm never left short. Top stuff","Clint B.",field_60ed4e655dfec,20210726,field_60ed4e8c5dfed,4/5,field_60ed69d53445c,126,en
377,"Saves time and commisions","So far, I haven't found a better tool than [funnel]. This tool allows you to enter the plus and increase the number of transactions. It is also a big commsion saver. ","Asger A.",field_60ed4e655dfec,20210803,field_60ed4e8c5dfed,5/5,field_60ed69d53445c,127,en
378,"Focuses on profits","a wonderful innovation - [funnel] software suits me by the fact that the work takes place 24 hours a day, thereby increasing the profit. And for me, this is the most important thing.","Božidar M.",field_60ed4e655dfec,20210803,field_60ed4e8c5dfed,5/5,field_60ed69d53445c,128,en
379,"Keeps working","I very often got into a strop trading and lose my money because of this. Thanks to [funnel] I do not lose control of my emotions. It is very easy to enter and withdraw money too","Dennis R.",field_60ed4e655dfec,20210805,field_60ed4e8c5dfed,4/5,field_60ed69d53445c,129,en
